Titre,Statut,Période,Durée,Genre,Réalisateur,Perso Principal,Nationalité,Chaîne,Note press,Critiques press,Note public,Saisons,Épisodes,Description
Future Man,Annulée,2017 - 2020,25,Comédie,Ariel Shaffir,Josh Hutcherson,U.S.A.,Hulu,3.5,9,3.5,3,34,"Agent d'entretien sans histoires vivant encore chez ses parents, Josh Futturman passe tout son temps sur un passionnant jeu vidéo. L'avenir du jeune homme s'annonce guère réjouissant... jusqu'au jour où deux mystérieux visiteurs venus du futur débarquent et le préviennent de l'extinction prochaine de l'humanité. Josh doit les aider à sauver la Terre en les aidant à changer..."
Trinkets,Terminée,2019 - 2020,30,Comédie,Amy Andelson,Brianna Hildebrand,U.S.A.,Netflix,,,3.9,2,20,"Trois lycéennes que tout oppose : Elodie, la marginale, Moe, la délinquante et Tabitha, la populaire se rencontrent lors d'une séance des ""Voleurs à l'étalage Anonymes"". Contre toute attente, elles se lient d'amitié."
About a Boy,Annulée,2014 - 2015,22,Comédie,Jason Katims,David Walton,U.S.A.,NBC,3.3,8,3.3,2,33,"Will Freeman mène une parfaite vie de célibataire sans emploi. C'était sans compter sur Fiona, sa nouvelle voisine, qui emménage accompagnée de son fils de onze ans : Marcus. Si dans un premier temps, la relation de Will et Marcus est conflictuel, l'adulte découvre que sa côté auprès des femmes remonte inexorablement lorsqu'il est accompagné du jeune garçon. Will propose alors un marché à Marcus : laisser ce dernier s'inviter chez lui quand il en a envie, et en échange, il devra accepter de se faire passer pour son fils..."
Bonne Chance Charlie,,2010 - 2014,22,Comédie,Phil Baker,Bridgit Mendler,U.S.A.,Disney Channel US,,,3.8,4,99,"Quand Charlotte, alias Charlie, la petite dernière de la famille, vient au monde, ses frères et soeurs se serrent les coudes pour venir en aide à leurs parents, dépassés par leurs carrières respectives et la gestion de cette petite famille. La tâche est d'autant plus ardue que Teddy et PJ ne sont que des ados et Gabe n'a que 10 ans."
Suits : avocats sur mesure,Terminée,2011 - 2019,42,Comédie,Aaron Korsh,Gabriel Macht,U.S.A.,USA,2.8,9,2.8,9,134,"Avocat très ambitieux d'une grosse firme de Manhattan, Harvey Specter a besoin de quelqu'un pour l'épauler. Son choix se porte sur Mike Ross, un jeune homme très brillant mais sans diplôme, doté d'un talent certain et d'une mémoire photographique très précieuse. Ensemble, ils forment une équipe gagnante, prête à relever tous les défis. Mike devra cependant user de toutes les ruses pour maintenir sa place sans que personne ne découvre qu'il n'a jamais passé l'examen du barreau."
No Tomorrow,Annulée,2016 - 2017,42,Comédie,Corinne Brinkerhoff,Joshua Sasse,U.S.A.,CW,3.3,11,3.3,1,13,"Evie, une jeune femme qui ne prend jamais de risques dans sa vie personnelle, tombe amoureuse de Xavier, un homme complètement insouciant, qui est persuadé que l'apocalypse est imminente et qui va l'encourager à établir une liste de choses à accomplir avant la fin du monde."
Glee,Terminée,2009 - 2015,42,Comédie,Ryan Murphy,Matthew Morrison,U.S.A.,FOX,,,3.7,6,121,"Professeur d'espagnol au sein du lycée McKinley, Will Schuester décide de prendre la direction du club de chant de son établissement, laissé bien mal en point par son prédécesseur. Ravivant dans le même temps ses aspirations de jeunesse et la jalousie de sa femme, Will va déployer tout son enthousiasme afin de constituer un nouveau groupe, composé de plusieurs élèves n'ayant rien à voir les uns avec les autres. Losers, footballeurs, intellos, pom-pom girls... Tout ce petit monde va tenter de cohabiter tant bien que mal afin de ramener le ""Glee Club"" au prestigieux rang qu'il tenait bien des années auparavant..."
Irresponsable,Terminée,2016 - 2020,26,Comédie,Frédéric Rosset,Sébastien Chassagne,France,OCS City,3.6,7,3.6,3,30,"À 31 ans, Julien est loin d’être un adulte responsable : sans emploi, ni argent, il est contraint de retourner vivre chez sa mère, dans sa ville natale. Là, il tombe par hasard sur Marie, son premier grand amour d’adolescent qui avait à l’époque disparu du jour au lendemain, sans explications. Elle lui annonce qu’elle a un fils. Jacques. Il a 15 ans. Et Julien est son père… Une fois le choc passé, Julien se met en tête d’avoir un rôle à jouer dans la vie de Jacques. Mais devenir père n’a rien de facile quand on se comporte soi-même comme un adolescent en crise…"
Galavant,Annulée,2015 - 2016,22,Comédie,Dan Fogelman,Joshua Sasse,U.S.A.,ABC,3.1,10,3.1,2,18,"Le Prince Galavant, héros des contes de fées toujours prêt à défendre la veuve et l’orphelin, est en guerre contre l'affreux Roi Richard qui lui a volé l'amour de sa vie, la belle Madalena. Pour la retrouver et réconquérir son coeur, il doit traverser les royaumes, les montagnes et les forêts, combattre des dragons, déjouer les pièges de son ennemi juré.. et chanter !"
2 Broke Girls,Annulée,2011 - 2017,22,Comédie,Michael Patrick King,Kat Dennings,U.S.A.,CBS,3.3,10,3.3,6,138,"Max est une serveuse un peu désabusée qui n'a jamais eu beaucoup d'argent mais assez de malice pour s'en sortir dans la vie. Caroline est une fille à papa d'apparence superficielle, qui se retrouve du jour au lendemain sans un sou mais qui reste optimiste. Ce drôle de duo va alors devoir travailler ensemble et partager un appartement pour le meilleur et pour le pire, en attendant de réaliser leurs rêves..."
Kenny Powers,Terminée,2009 - 2013,26,Comédie,Ben Best,Danny McBride,U.S.A.,HBO,,,4.1,4,29,"Ex-professionnel de base-ball, Kenny a un énorme égo. Lorsqu'il retourne dans sa ville natale, son passé de vedette et sa conduite désagréable ne le conduisent pas vers les sommets. Au contraire ! Le voilà de retour dans l'enceinte du lycée qui l'a vu grandir, au poste de professeur de gym remplaçant."
Castle,Terminée,2009 - 2016,42,Comédie,David Amann,Nathan Fillion,U.S.A.,ABC,2.5,10,2.5,8,173,"Richard Castle est un écrivain à succès spécialisé dans les thrillers. La police s'intéresse de près à lui lorsqu'un tueur copie les meurtres mis en scène dans ses romans. Une fois cette affaire résolue, Castle devient consultant pour la police de New York..."
Journal d'une ado hors norme,,2013 - 2015,45,Comédie dramatique,,Sharon Rooney,Grande-Bretagne,Channel 4,,,4.3,3,16,"La vie de Rae, une adolescente obèse de 16 ans, dans les années 1990. Très enjouée, malgré la présence d'une mère très excentrique, la jeune fille a hâte de vivre sa vie, de découvrir l'amour et... de s'envoyer en l'air !"
Looking,Annulée,2014 - 2015,30,Comédie dramatique,Michael Lannan,Jonathan Groff,U.S.A.,HBO,3.4,6,3.4,2,19,"Les amours, les joies et les peines de trois amis gays à San Francisco. Entre regrets, valses hésitations et autres impulsions du moment,&nbsp;Patrick, Agustin et Dom partagent leurs déceptions, leurs rêves, leurs désirs, la vie en somme."
Crazy Ex-Girlfriend,Terminée,2015 - 2019,42,Comédie dramatique,Rachel Bloom,Rachel Bloom,U.S.A.,CW,3.8,12,3.8,4,62,"Avocate brillante promise à un bel avenir dans un cabinet new-yorkais,&nbsp;Rebecca Bunch travaille trop. Malheureuse, elle&nbsp;abandonne tout sur un coup de tête, dans une tentative désespérée de trouver l’amour et le bonheur dans la banlieue de West Covina, en Californie, où vit Josh, un amour de jeunesse. Excessive, déterminée et aussi un peu folle, la jeune femme entend prendre un nouveau départ..."
Close Case : affaires classées,Annulée,2012 - 2014,45,Comédie dramatique,Charlie Brooker,John Hannah,Grande-Bretagne,Sky One,,,3.9,3,6,"Jack Cloth, un détective solitaire et porté sur l'alcool, se dévoue à son travail pour mieux oublier la mystérieuse mort de son épouse. Dans une affaire de meurtre totalement absurde, il se retrouve accompagné d'une coéquipière très terre-à-terre, Anne Oldman..."
Enlightened : illuminée,,2011 - 2013,26,Comédie dramatique,Mike White,Laura Dern,U.S.A.,HBO,,,3.7,2,18,"Auto-destructrice de nature et colérique, Amy a décidé de changer suite à une révélation d'ordre spirituel qui l'a conduite à passer quelques temps à Hawaii dans une thérapie de groupes. De retour dans sa vie d'avant, elle est bien décidée à faire le bien autour d'elle et à trouver un équilibre pour enfin vivre..."
Shooter,Annulée,2016 - 2018,42,Thriller,John Hlavin,Ryan Phillippe,U.S.A.,USA,3.3,6,3.3,3,31,"Bob Lee Swagger, un ancien tireur d'élite au sein des Marines, reprend du service pour déjouer une tentative d'assassinat à l'encontre du président des États-Unis. Mais lorsqu'il se retrouve accusé du crime, il va devoir se servir de tout ce qu'il a appris au cours de sa carrière pour retrouver les vrais coupables et faire payer ceux qui l'ont piégé.Adaptation de l'oeuvre de&nbsp;Stephen Hunter portée sur le grand écran en 2007 avec Mark Wahlberg&nbsp;dans la peau du&nbsp;Shooter, tireur d'élite."
Turn: Washington's Spies,Terminée,2014 - 2017,42,Drame,Craig Silverstein,Angus Macfadyen,U.S.A.,AMC,,,4.2,4,40,"Automne 1776. Un fermier de Long Island nommé Abe Woodhull est recruté malgré lui par des amis d'enfance pour former avec eux un groupe d'espions, qui inversera le cours de l'histoire des États-Unis dans son combat pour l’indépendance..."
The Good Wife,,2009 - 2016,42,Drame,Robert King (III),Julianna Margulies,U.S.A.,CBS,,,4.1,7,156,"L'épouse d'un homme politique voit sa vie bouleversée par l'incarcération de son mari à la suite d'un scandale sexuel et une affaire de corruption largement relayés par les médias. Dépassant la trahison et l'humiliation publique, Alicia Florrick décide de reprendre sa carrière d'avocate après une pause de 13 ans loin des tribunaux. Elle rejoint un ami de longue date au sein d'un prestigieux cabinet de Chicago. Très vite, Alicia réalise que la compétition va être rude avec de jeunes recrues ambitieuses et déterminées. Mais au moins pour une fois, elle est prête à prendre en main sa propre destinée et détruire son image d'épouse modèle..."
Code Black,Annulée,2015 - 2018,42,Drame,Michael Seitzman,Marcia Gay Harden,U.S.A.,CBS,,,4.1,3,47,"À Los Angeles, le quotidien du service des urgences le plus trépidant de tous les États-Unis. Face à un système défaillant, les médecins tentent de protéger leur idéaux en respectant ceux qui ont le plus besoin d'eux : les patients. Leanne Rorish, une force de la Nature, est en charge de quatre résidents qui font leurs débuts dans le service..."
Boss,Annulée,2011 - 2012,52,Drame,Farhad Safinia,Kelsey Grammer,U.S.A.,Starz,,,4.1,2,18,"Dans les coulisses du pouvoir de la ville de Chicago, le maire, Tom Kane, atteint de dégénérescence mentale, tente de cacher son état à son entourage, lequel est bien trop occupé pour se rendre compte du moindre signe inhabituel. Sa femme et lui ne partagent plus rien, ses collaborateurs ont trop de respect pour lui et le craignent trop pour poser la moindre question, et Ben Zajac, qui s'imagine en futur gouverneur de l'Illinois, est rongé par l'ambition. Sa fille, Emma, est la seule à soupçonner que quelque chose ne tourne pas rond mais elle est encore loin de la vérité..."
Ainsi soient-ils,Terminée,2012 - 2015,52,Drame,Bruno Nahon,Jean-Luc Bideau,France,Arte,,,4.1,3,24,"Septembre 2011, Paris. Cinq jeunes candidats à la prêtrise sont sur le point de changer radicalement de vie. En entrant au Séminaire des Capucins, ils vont apprendre à suivre la voie de Dieu et devenir ses ministres. D’où viennent-ils ? Quelles expériences de joie, de douleurs ont-ils vécu ? Autant de questions qui hantent le Père Fromenger, directeur légendaire du Séminaire, et son dévoué bras droit, le Père Bosco, lorsqu'ils accueillent José, Raphaël, Yann, Guillaume et Emmanuel dans leur nouveau monde.En partageant leurs espérances, leurs doutes, leurs épreuves quotidiennes, nous découvrons un monde fascinant, mystérieux, l’Eglise, qui nous mènera jusqu’au Vatican et ses coulisses politiques. Une plongée haletante dans un univers secret."
Utopia,Terminée,2013 - 2014,60,Drame,Dennis Kelly,Fiona O'Shaughnessy,Grande-Bretagne,Channel 4,,,4.4,2,12,"""Utopia"" est une bande-dessinée légendaire sur laquelle plane le mystère. Mais quand Ian, Becky, Grant et Wilson, un petit groupe de personnes qui n'avaient jusqu'alors aucun lien, se retrouvent chacun en possession d'un exemplaire original du manuscrit, leurs vies basculent soudainement et brutalement. Immédiatement pris pour cible par une impitoyable organisation meurtrière connue sous le nom du Network, les membres du groupe, terrifiés, n'ont plus qu'une seule solution s'ils veulent survivre : courir !"
Bloodline (2015),Annulée,2015 - 2017,42,Drame,Todd A. Kessler,Kyle Chandler,U.S.A.,Netflix,3.6,18,3.6,3,33,"Les Rayburn sont des gens comme vous et moi : un hôtel prospère sur une île paradisiaque, une réputation à toute épreuve, une fratrie unie... à première vue, ils ont tout de la famille idéale. Oui mais voilà, les apparences sont parfois trompeuses et personne n’échappe à sa part d’ombre. Quand l’un des enfants perdu de vue depuis longtemps regagne le foyer, des secrets enfouis sous le poids des années menacent de refaire surface. Et si le sang qui coule dans les veines des Rayburn les soudait finalement moins que celui qu’ils ont sur les mains ?"
Mr. Robot,Terminée,2015 - 2019,45,Drame,Sam Esmail,Rami Malek,U.S.A.,USA,4.3,9,4.3,4,45,Elliot est un jeune programmeur anti-social qui souffre d'un trouble du comportement qui le pousse à croire qu'il ne peut rencontrer des gens qu'en les hackant.&nbsp;Il travaille pour une firme spécialisée dans la cyber-sécurité mais un homme connu sous le nom de Mr Robot l'approche un jour pour faire tomber une compagnie surpuissante qui fait partie de celles qu'il doit justement protéger...
Murder,Terminée,2014 - 2020,42,Drame,Peter Nowalk,Viola Davis,U.S.A.,ABC,3.6,9,3.6,6,90,"Annalise Keating possède toutes les qualités requises chez un professeur de droit pénal. Brillante, passionnée, créative et charismatique, elle symbolise également tout ce à quoi on ne s'attend pas : sexy, imprévisible et dangereuse. Que ce soit lors d’un procès ou dans une salle de classe, Annalise est impitoyable. Avocate de la défense, elle représente les criminels, des plus violents jusqu'à ceux suspectés de simple fraude.&nbsp;Son objectif est de faire presque tout ce qui lui est possible pour gagner leur liberté. De plus, chaque année, Annalise sélectionne un groupe d’élèves, qui se révèlent être les plus intelligents et les plus prometteurs, à venir travailler dans son cabinet. Car apprendre auprès d’Annalise est l'occasion d'une vie, celle qui peut tout changer pour ces étudiants, et cela pour toujours. C’est exactement ce qui se produit lorsqu’ils se retrouvent impliqués dans un assassinat qui fera vibrer toute l'université..."
The Fosters,,2013 - 2018,42,Drame,Peter Paige,Teri Polo,U.S.A.,Freeform,,,4.3,5,104,"Un couple de lesbiennes - l'une est policière, l'autre enseignante dans une école privée - sont les heureuses mamans de trois enfants : un fils biologique et des jumeaux adoptés, une fille et un garçon. Leur équilibre familial est bousculé lorsqu'elles accueillent une adolescente rebelle au sein de leur foyer..."
Halt and Catch Fire,Terminée,2014 - 2017,42,Drame,Christopher Cantwell,Lee Pace,U.S.A.,AMC,3.2,10,3.2,4,40,"Au cœur des années 80, au Texas, un visionnaire, un ingénieur et un prodige spécialisés dans la micro-informatique confrontent leurs inventions et innovations aux géants de l'époque. Leurs relations sont alors mises à rude épreuve, entre convoitises, jalousies et crises d'égo..."
Pretty Little Liars,Terminée,2010 - 2017,42,Drame,I. Marlene King,Ashley Benson,U.S.A.,Freeform,,,4.2,7,162,Quatre adolescentes reçoivent de mystérieux messages d'une ancienne amie qui a disparu un an plus tôt...
Empire (2015),Annulée,2015 - 2020,42,Drame,Lee Daniels,Terrence Howard,U.S.A.,FOX,3.6,9,3.6,6,102,"Lucious Lyon, ancienne star du hip-hop, est devenu en l'espace d'une vingtaine d'années l'un des plus riches producteurs de disques Américains. Atteint d'une grave maladie, ses jours sont comptés. Il ne lui reste donc plus beaucoup de temps pour désigner son successeur parmi ses trois fils. Deux sont des artistes débutants, très différents mais soudés, tandis que le troisième est un homme d'affaires prêt à tout pour obtenir la position qu'il croit lui revenir de droit. Alors que la famille est sur le point de se déchirer, Cookie, la matriarche, en prison depuis 17 ans, retourne parmi les siens et sème encore un peu plus le trouble. Elle a des comptes à régler et une vengeance à assouvir."
Outcast,Annulée,2016 - 2017,42,Drame,Robert Kirkman,Patrick Fugit,U.S.A.,Cinemax (US),3.8,10,3.8,2,20,"Hanté par un sombre passé,&nbsp;Kyle Barnes se décide à faire face à&nbsp;ses propres démons. Avec l'aide du révérend&nbsp;Anderson, il exorcise les âmes possédées dans&nbsp;l'espoir de trouver&nbsp;des réponses à ses propres tourments. Ce qu'il va découvrir pourrait aussi bien changer son destin que celui du monde... à jamais."
